titulo,autor,genero,paginas,valoracion,complejidad
La broma infinita,David Foster Wallace,Literatura experimental,1079,4.3,5
Hijos de la medianoche,Salman Rushdie,Realismo mágico,647,4.4,5
El arte de la guerra,Sun Tzu,Estrategia,160,4.7,2
Sapiens,Yuval Noah Harari,Historia,496,4.7,4
Homo Deus,Yuval Noah Harari,Historia,448,4.6,4
Educada,Tara Westover,Biografía,400,4.7,4
El código de la manifestación,Napoleon Hill,Autoayuda,234,4.6,3
El poder de la disciplina,Daniel Walter,Autoayuda,196,4.5,3
Los cuatro acuerdos,Don Miguel Ruiz,Autoayuda,160,4.6,3
El marciano,Andy Weir,Ciencia ficción,387,4.7,4
El problema de los tres cuerpos,Liu Cixin,Ciencia ficción,416,4.6,5
Hyperion,Dan Simmons,Ciencia ficción,482,4.6,5
El hombre invisible,H.G. Wells,Ciencia ficción,208,4.5,3
La isla del doctor Moreau,H.G. Wells,Ciencia ficción,174,4.4,3
Ubik,Philip K. Dick,Ciencia ficción,224,4.5,4
La mano izquierda de la oscuridad,Ursula K. Le Guin,Ciencia ficción,336,4.6,5
Cuentos completos,Edgar Allan Poe,Terror,1040,4.7,5
It,Stephen King,Terror,1504,4.7,5
El resplandor,Stephen King,Terror,688,4.8,4
El exorcista,William Peter Blatty,Terror,400,4.5,4
Cementerio de animales,Stephen King,Terror,416,4.6,4
La chica del tren,Paula Hawkins,Thriller,416,4.2,4
Perdida,Gillian Flynn,Thriller,576,4.3,4
El silencio de los corderos,Thomas Harris,Thriller,368,4.6,4
Los hombres que no amaban a las mujeres,Stieg Larsson,Thriller,672,4.5,4
La catedral del mar,Ildefonso Falcones,Novela histórica,672,4.6,4
La ladrona de libros,Markus Zusak,Novela histórica,480,4.7,4
Patria,Fernando Aramburu,Novela histórica,648,4.7,4
El príncipe,Niccolò Machiavelli,Política,140,4.5,3
La República,Platón,Filosofía,352,4.7,5
Meditaciones,Marco Aurelio,Filosofía,304,4.7,4
Más allá del bien y del mal,Friedrich Nietzsche,Filosofía,320,4.6,5
El segundo sexo,Simone de Beauvoir,Filosofía,825,4.5,5
Atrévete a no gustar,Ichiro Kishimi,Filosofía,304,4.6,3
Vendes o vendes,Grant Cardone,Autoayuda,250,4.5,3
Los secretos de la felicidad auténtica,Martin Seligman,Autoayuda,336,4.6,3
La vaca,Camilo Cruz,Autoayuda,176,4.5,2
Piensa como un monje,Jay Shetty,Autoayuda,352,4.6,3
El camino del artista,Julia Cameron,Autoayuda,304,4.6,3
La buena suerte,Álex Rovira,Autoayuda,256,4.4,2
Tus tres superpoderes para lograr una vida extraordinaria,Mónica Esgueva,Autoayuda,224,4.4,3
El poder sin límites,Tony Robbins,Autoayuda,448,4.6,4
Gente tóxica,Bernardo Stamateas,Autoayuda,240,4.4,2
The Secret History,Donna Tartt,Ficción psicológica,559,4.4,4
